1er jour de la semaine,Semaine,Région Code,Région,Classe d'âge,Taux de passages aux urgences pour pneumopathie,Taux d'hospitalisations après passages aux urgences pour pneumopathie,Taux d'actes médicaux SOS médecins pour pneumopathie
2019-12-30,2020-S01,32,Hauts-de-France,65 ans ou plus,5750.9627728,10060.362173,3283.5820896
2019-12-30,2020-S01,32,Hauts-de-France,Tous âges,1990.8705934,6564.2010887,761.93022323
2020-01-06,2020-S02,32,Hauts-de-France,00-04 ans,1173.9264751,4188.4816754,431.56596794
2020-01-06,2020-S02,32,Hauts-de-France,65 ans ou plus,5296.9814995,8588.0640466,2322.4043716
2020-01-13,2020-S03,32,Hauts-de-France,05-14 ans,566.86421026,3301.8867925,262.81208936
2020-01-20,2020-S04,32,Hauts-de-France,05-14 ans,291.15934357,1785.7142857,329.4892916
2020-01-20,2020-S04,32,Hauts-de-France,Tous âges,1521.2942585,4860.4651163,582.83967132
2020-02-03,2020-S06,32,Hauts-de-France,00-04 ans,1554.9324497,3523.0352304,641.02564103
2020-02-03,2020-S06,32,Hauts-de-France,65 ans ou plus,4326.0911363,7314.7256978,1818.1818182
2020-02-03,2020-S06,32,Hauts-de-France,Tous âges,1487.096192,4797.7006412,571.93136824
2020-02-10,2020-S07,32,Hauts-de-France,05-14 ans,407.12468193,2604.1666667,516.79586563
2020-02-10,2020-S07,32,Hauts-de-France,Tous âges,1659.7816465,5581.3953488,659.58226457
2020-02-17,2020-S08,32,Hauts-de-France,00-04 ans,1157.662624,2547.7707006,940.73377234
2020-02-17,2020-S08,32,Hauts-de-France,05-14 ans,829.71157645,1075.2688172,610.22120519
2020-02-24,2020-S09,32,Hauts-de-France,15-64 ans,1015.8630929,3327.4956217,424.62845011
2020-02-24,2020-S09,32,Hauts-de-France,Tous âges,1982.0205479,5659.0591523,653.24480617
2020-03-02,2020-S10,32,Hauts-de-France,00-04 ans,1206.1403509,1016.9491525,414.446418
2020-03-02,2020-S10,32,Hauts-de-France,65 ans ou plus,5662.7255756,8958.4457636,2365.9305994
2020-03-09,2020-S11,32,Hauts-de-France,05-14 ans,668.78980892,1562.5,503.77833753
2020-03-09,2020-S11,32,Hauts-de-France,65 ans ou plus,6092.0897285,9572.6495726,3937.007874
2020-03-09,2020-S11,32,Hauts-de-France,Tous âges,1890.2330546,5924.7810407,667.24688135
2020-03-16,2020-S12,32,Hauts-de-France,05-14 ans,1378.5790032,2000.0,144.3001443
2020-03-23,2020-S13,32,Hauts-de-France,05-14 ans,1846.9656992,2222.2222222,234.74178404
2020-03-23,2020-S13,32,Hauts-de-France,15-64 ans,2213.8299258,5252.1008403,447.71346338
2020-03-23,2020-S13,32,Hauts-de-France,Tous âges,3017.0428374,6276.531231,831.37923684
2020-03-30,2020-S14,32,Hauts-de-France,00-04 ans,641.02564103,1438.8489209,0.0
2020-04-06,2020-S15,32,Hauts-de-France,05-14 ans,445.63279857,0.0,325.73289902
2020-04-06,2020-S15,32,Hauts-de-France,Tous âges,1351.3513514,3363.035355,753.4048102
2020-04-13,2020-S16,32,Hauts-de-France,05-14 ans,916.59028414,1785.7142857,350.87719298
2020-04-13,2020-S16,32,Hauts-de-France,Tous âges,1209.5364609,3136.0946746,469.20821114
2020-04-20,2020-S17,32,Hauts-de-France,00-04 ans,149.14243102,671.1409396,0.0
2020-04-20,2020-S17,32,Hauts-de-France,Tous âges,1158.1035255,3106.8524971,341.9334784
2020-04-27,2020-S18,32,Hauts-de-France,05-14 ans,757.57575758,1626.0162602,0.0
2020-04-27,2020-S18,32,Hauts-de-France,Tous âges,1117.4947913,3081.890226,312.23389157
2020-05-04,2020-S19,32,Hauts-de-France,05-14 ans,331.34526176,0.0,280.8988764
2020-05-04,2020-S19,32,Hauts-de-France,15-64 ans,577.35590567,1664.6848989,81.366965012
2020-05-04,2020-S19,32,Hauts-de-France,65 ans ou plus,2516.5865935,4571.7592593,578.03468208
2020-05-11,2020-S20,32,Hauts-de-France,05-14 ans,66.533599468,0.0,0.0
2020-05-11,2020-S20,32,Hauts-de-France,15-64 ans,386.48300466,1077.8443114,294.11764706
2020-05-18,2020-S21,32,Hauts-de-France,65 ans ou plus,2176.2321314,4136.7898511,558.65921788
2020-06-01,2020-S23,32,Hauts-de-France,00-04 ans,113.25028313,0.0,194.93177388
2020-06-29,2020-S27,32,Hauts-de-France,00-04 ans,149.40239044,500.0,582.07217695
2020-06-29,2020-S27,32,Hauts-de-France,65 ans ou plus,2242.6095821,4303.9319872,709.21985816
2020-07-06,2020-S28,32,Hauts-de-France,00-04 ans,91.659028414,456.62100457,98.135426889
2020-07-06,2020-S28,32,Hauts-de-France,05-14 ans,134.46884805,1324.5033113,280.8988764
2020-07-13,2020-S29,32,Hauts-de-France,00-04 ans,86.767895879,0.0,89.525514772
2020-07-20,2020-S30,32,Hauts-de-France,15-64 ans,490.96183888,1932.9164298,68.555758684
2020-07-20,2020-S30,32,Hauts-de-France,Tous âges,938.94663289,3203.8345106,147.25371816
2020-07-27,2020-S31,32,Hauts-de-France,05-14 ans,0.0,0.0,148.14814815
2020-07-27,2020-S31,32,Hauts-de-France,Tous âges,804.81992716,2860.7594937,200.0
2020-08-10,2020-S33,32,Hauts-de-France,05-14 ans,43.421623969,0.0,236.68639053
2020-08-10,2020-S33,32,Hauts-de-France,Tous âges,942.89345304,3260.8695652,270.63599459
2020-08-17,2020-S34,32,Hauts-de-France,00-04 ans,99.601593625,613.49693252,131.06159895
2020-08-17,2020-S34,32,Hauts-de-France,15-64 ans,360.87789071,1451.8002323,87.796312555
2020-08-17,2020-S34,32,Hauts-de-France,Tous âges,769.26439093,2609.5768938,202.66357846
2020-08-24,2020-S35,32,Hauts-de-France,65 ans ou plus,1961.6026711,2899.3147074,1083.5913313
2020-09-07,2020-S37,32,Hauts-de-France,15-64 ans,348.583878,1430.1430143,110.21307862
2020-09-07,2020-S37,32,Hauts-de-France,65 ans ou plus,2662.4068158,4874.041621,561.79775281
2020-09-07,2020-S37,32,Hauts-de-France,Tous âges,742.77089291,2948.2262704,253.8787024
2020-09-14,2020-S38,32,Hauts-de-France,05-14 ans,287.95811518,1724.137931,157.3976915
2020-09-14,2020-S38,32,Hauts-de-France,65 ans ou plus,3082.1236826,5394.6053946,1562.5
2020-09-14,2020-S38,32,Hauts-de-France,Tous âges,1001.0048698,3670.7706338,303.18342597
2020-09-21,2020-S39,32,Hauts-de-France,Tous âges,950.98756401,3174.2125984,433.01069791
2020-09-28,2020-S40,32,Hauts-de-France,15-64 ans,485.03220917,1790.4160084,149.1583209
2020-10-05,2020-S41,32,Hauts-de-France,65 ans ou plus,3234.6145768,4869.6507624,837.52093802
2020-10-05,2020-S41,32,Hauts-de-France,Tous âges,1063.6371866,3240.0932401,265.10394865
2020-10-12,2020-S42,32,Hauts-de-France,65 ans ou plus,3330.430997,5388.9171327,2369.6682464
2020-10-26,2020-S44,32,Hauts-de-France,00-04 ans,339.55857385,1408.4507042,315.12605042
2020-10-26,2020-S44,32,Hauts-de-France,15-64 ans,789.18812272,2367.9417122,310.97290093
2020-10-26,2020-S44,32,Hauts-de-France,65 ans ou plus,3302.5099075,4652.3261631,1589.5953757
2020-10-26,2020-S44,32,Hauts-de-France,Tous âges,1334.3050961,3380.9166041,442.54314796
2020-11-02,2020-S45,32,Hauts-de-France,15-64 ans,642.95760498,2537.7643505,153.53121801
2020-11-09,2020-S46,32,Hauts-de-France,00-04 ans,388.4572697,1000.0,0.0
2020-11-09,2020-S46,32,Hauts-de-France,05-14 ans,96.852300242,606.06060606,0.0
2020-11-09,2020-S46,32,Hauts-de-France,15-64 ans,617.65291891,2278.0373832,243.37479719
2020-11-16,2020-S47,32,Hauts-de-France,00-04 ans,321.02728732,1646.090535,87.642418931
2020-11-16,2020-S47,32,Hauts-de-France,05-14 ans,0.0,0.0,367.19706242
2020-11-16,2020-S47,32,Hauts-de-France,15-64 ans,670.18683997,2179.1767554,141.04372355
2020-11-16,2020-S47,32,Hauts-de-France,Tous âges,1052.4584772,3170.2446331,328.40722496
2020-11-30,2020-S49,32,Hauts-de-France,00-04 ans,735.68050447,431.03448276,770.54794521
2020-12-21,2020-S52,32,Hauts-de-France,65 ans ou plus,2361.8634886,3978.7798408,1985.8156028
2021-01-04,2021-S01,32,Hauts-de-France,00-04 ans,591.08006448,829.87551867,226.24434389
2021-01-04,2021-S01,32,Hauts-de-France,15-64 ans,549.3068271,1346.2574044,101.96278358
2021-01-04,2021-S01,32,Hauts-de-France,65 ans ou plus,2629.4820717,4147.0311027,806.4516129
2021-01-11,2021-S02,32,Hauts-de-France,65 ans ou plus,2437.4460742,4082.6364978,2268.4310019
2021-01-11,2021-S02,32,Hauts-de-France,Tous âges,814.19309444,2750.1185396,344.20586789
2021-01-18,2021-S03,32,Hauts-de-France,15-64 ans,527.9366476,2338.1294964,216.15779519
2021-01-18,2021-S03,32,Hauts-de-France,Tous âges,956.66854249,2921.8573046,327.77115614
2021-02-01,2021-S05,32,Hauts-de-France,00-04 ans,1010.8864697,1497.005988,456.10034208
2021-02-01,2021-S05,32,Hauts-de-France,15-64 ans,555.83628095,2061.3107822,197.7750309
2021-02-08,2021-S06,32,Hauts-de-France,15-64 ans,612.20920063,2162.1621622,131.2335958
2021-02-08,2021-S06,32,Hauts-de-France,Tous âges,1077.3660258,3431.372549,402.49826509
2021-02-15,2021-S07,32,Hauts-de-France,00-04 ans,1260.8069164,3216.374269,1048.2180294
2021-02-15,2021-S07,32,Hauts-de-France,05-14 ans,34.578146611,444.44444444,93.28358209
2021-02-15,2021-S07,32,Hauts-de-France,65 ans ou plus,2847.7334367,4755.7284911,1594.8963317
2021-02-22,2021-S08,32,Hauts-de-France,65 ans ou plus,3078.4313725,4966.1399549,2222.2222222
2021-02-22,2021-S08,32,Hauts-de-France,Tous âges,1289.8262129,3844.5108928,551.96553581
2021-03-01,2021-S09,32,Hauts-de-France,65 ans ou plus,3771.2895377,6361.5560641,738.55243722
2021-03-08,2021-S10,32,Hauts-de-France,15-64 ans,674.56400132,2446.4831804,118.70845204
2021-03-08,2021-S10,32,Hauts-de-France,65 ans ou plus,2965.8536585,5506.993007,1226.993865
2021-03-08,2021-S10,32,Hauts-de-France,Tous âges,1184.2163404,3869.4833717,481.36432403
2021-03-15,2021-S11,32,Hauts-de-France,00-04 ans,1443.1538191,3081.232493,1165.8717541
2021-03-15,2021-S11,32,Hauts-de-France,05-14 ans,32.331070158,0.0,257.95356836
2021-03-29,2021-S13,32,Hauts-de-France,05-14 ans,151.01177892,448.43049327,261.55187446
2021-04-05,2021-S14,32,Hauts-de-France,00-04 ans,1204.4161927,3217.1581769,687.07058089
2021-04-05,2021-S14,32,Hauts-de-France,Tous âges,1255.2488162,3619.4415719,452.00744483
2021-04-12,2021-S15,32,Hauts-de-France,00-04 ans,1126.40801,2711.8644068,204.49897751
2021-04-12,2021-S15,32,Hauts-de-France,05-14 ans,96.478533526,564.97175141,0.0
2021-04-12,2021-S15,32,Hauts-de-France,Tous âges,1172.4588939,3222.2709338,356.67963684
