1er jour de la semaine,Semaine,Région Code,Région,Classe d'âge,Taux de passages aux urgences pour allergie,Taux d'hospitalisations après passages aux urgences pour allergie,Taux d'actes médicaux SOS médecins pour allergie
2021-12-20,2021-S51,27,Bourgogne et Franche-Comté,Tous âges,1056.5526583,616.74008811,871.36929461
2022-01-03,2022-S01,27,Bourgogne et Franche-Comté,00-14 ans,1176.8551814,568.18181818,1130.8562197
2022-01-03,2022-S01,27,Bourgogne et Franche-Comté,Tous âges,708.56842934,222.40756186,1041.2649441
2022-01-10,2022-S02,27,Bourgogne et Franche-Comté,Tous âges,704.22535211,170.98888572,866.14173228
2022-01-24,2022-S04,27,Bourgogne et Franche-Comté,15-64 ans,973.82066523,458.29514207,1038.2868267
2022-01-31,2022-S05,27,Bourgogne et Franche-Comté,15-64 ans,785.98118799,336.41715728,1433.9622642
2022-01-31,2022-S05,27,Bourgogne et Franche-Comté,65 ans ou plus,402.1764845,198.51116625,0.0
2022-02-07,2022-S06,27,Bourgogne et Franche-Comté,00-14 ans,951.34547431,0.0,1134.751773
2022-02-07,2022-S06,27,Bourgogne et Franche-Comté,Tous âges,812.07968532,194.28254233,1533.6039693
2022-02-14,2022-S07,27,Bourgogne et Franche-Comté,65 ans ou plus,346.42032333,145.41929229,1310.0436681
2022-02-21,2022-S08,27,Bourgogne et Franche-Comté,00-14 ans,1348.3850737,248.75621891,1169.5906433
2022-02-21,2022-S08,27,Bourgogne et Franche-Comté,15-64 ans,572.49533292,167.7852349,1803.8331454
2022-03-07,2022-S10,27,Bourgogne et Franche-Comté,00-14 ans,846.72166739,0.0,1109.9899092
2022-10-10,2022-S41,27,Bourgogne et Franche-Comté,Tous âges,951.55709343,447.42729306,705.71630205
2022-10-17,2022-S42,27,Bourgogne et Franche-Comté,00-14 ans,1114.2061281,261.09660574,1040.6811731
2022-10-17,2022-S42,27,Bourgogne et Franche-Comté,15-64 ans,847.95665999,529.1005291,1062.5
2022-10-24,2022-S43,27,Bourgogne et Franche-Comté,00-14 ans,1024.2707637,675.67567568,859.59885387
2022-10-24,2022-S43,27,Bourgogne et Franche-Comté,65 ans ou plus,702.15175538,485.96112311,1010.1010101
2022-11-07,2022-S45,27,Bourgogne et Franche-Comté,65 ans ou plus,194.17475728,0.0,641.02564103
2022-11-07,2022-S45,27,Bourgogne et Franche-Comté,Tous âges,637.10181137,146.19883041,770.2182285
2022-11-14,2022-S46,27,Bourgogne et Franche-Comté,15-64 ans,653.11152187,165.56291391,915.03267974
2022-11-28,2022-S48,27,Bourgogne et Franche-Comté,15-64 ans,572.22787386,526.31578947,470.7464694
2022-11-28,2022-S48,27,Bourgogne et Franche-Comté,65 ans ou plus,214.13276231,105.82010582,0.0
